Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0,13,-12,15,1.8
8,22,-6,21,4.83
7,16,-2,19,6.4
8,18,-1,23,6.16
17,27,7,22,11
10,20,0,18,9
3,12,-5,23,0.53
6,16,-3,31,1.6
19,31,6,21,6.26
7,16,-2,12,2.33
26,37,15,30,9.03
26,36,16,18,5.7
22,32,12,29,9.43
26,43,8,30,6.7
22,31,12,31,6.83
18,31,5,21,6.36
21,33,8,28,10.86
20,34,7,26,7.8
7,22,-8,26,3.46
12,24,-7,12,3.4
44,52,35,24,1.03
39,47,30,9,7.96
22,29,15,18,2.96
12,25,-1,8,6.6
34,39,29,24,6.16
60,60,60,27,52.6
36,46,26,28,6.26
37,44,30,25,10.1
31,38,23,27,4.63
31,46,15,27,5.06
27,36,17,17,1.8
33,38,28,25,6.23
25,30,21,26,8.86
29,34,23,26,13.73
33,37,29,21,7.3
37,44,30,27,8.63
40,43,35,27,11.7
28,34,22,26,11.23
29,34,23,24,11.5
39,46,30,34,10.16
50,56,44,21,4.43
43,53,33,18,2.3
41,51,31,30,4.2
43,53,32,31,2.36
43,52,35,27,1.86
48,56,40,32,5.03
21,30,12,25,7.9
20,30,9,25,10.76
20,28,12,27,7.8
19,28,10,28,9.46
21,26,9,24,8.1
29,32,25,26,11.4
29,32,26,25,12.43
31,35,26,26,8.53
30,35,24,26,11.93
27,31,23,24,11.46
29,31,25,26,12.7
28,32,24,25,11.23
33,47,18,28,5.46
35,46,24,30,7.16
33,47,20,28,3.96
36,48,24,29,5.1
36,42,30,9,9.46
7,21,-6,11,3.5
30,36,23,1,7.86
34,43,24,9,3.4
19,20,17,12,4
32,35,29,9,19.93
15,24,6,32,2.8
32,38,25,34,7.13
34,41,25,27,8.3
29,33,26,24,13.96
36,43,29,30,8.8
39,45,31,27,8.3
31,35,27,25,9.53
32,35,28,25,9.13
31,35,25,26,7.83
77,83,71,10,5.9
36,43,28,26,7.36
45,54,35,30,1.13
53,61,45,22,3.86
49,57,40,21,2.3
45,55,35,19,2.53
18,29,7,26,6.16
18,26,9,29,8.4
22,29,15,27,10.5
24,37,11,26,3.26
18,26,9,30,7.2
34,44,24,23,3.93
40,48,31,35,3.6
37,47,27,28,5.66
34,44,24,29,4.23
36,45,27,26,2.5
40,51,29,30,3.53
39,50,28,29,3.73
37,47,27,18,0.5
41,47,34,20,5.76
34,45,22,29,4.73
46,53,40,22,8
47,52,42,22,4.1
48,53,43,11,9.56
47,50,42,32,13.2
38,47,29,30,4.63
48,53,43,33,7.73
47,51,42,35,13.03
35,50,19,29,4.23
44,51,36,33,4.9
46,53,38,32,6.73
47,51,42,22,3.16
37,44,31,4,5
44,52,36,31,5.93
49,52,44,12,13.9
50,54,45,11,9.56
34,43,25,21,5.1
37,43,31,21,6.4
42,48,35,19,4.93
47,52,41,22,6.2
47,52,42,22,8.46
45,51,39,33,6.26
40,48,31,31,8.06
15,24,7,32,1.6
41,49,33,28,9.33
31,35,26,23,6.5
39,49,29,25,3.6
45,51,39,16,4.7
41,51,30,27,3.6
41,49,33,28,9.33
41,49,33,28,4.26
41,49,33,29,4.83
10,22,-2,24,6.2
12,20,3,34,7.2
26,37,14,11,0.5
34,46,22,6,2.53
35,42,28,6,4.96
12,20,3,2,5.2
16,24,8,30,3.2
33,40,26,27,7.6
37,43,31,24,7.23
32,38,27,24,5.26
36,43,28,24,6.23
23,28,17,27,9.4
25,32,17,27,8.16
24,29,18,28,5.6
26,30,21,28,10.96
21,28,13,22,16.13
23,38,7,27,8.33
11,21,0,27,0.43
3,19,-13,16,1.9
22,36,7,21,0.8
44,52,36,12,6.55
43,50,34,13,8.34
49,57,39,14,6.58
47,55,38,15,7.55
28,33,22,12,4.02
36,43,27,24,5.42
28,35,21,7,18
6,19,-2,29,3.98
32,35,29,22,14.3
35,42,29,12,5.88
13,17,9,11,18.5
2,12,-7,7,1.58
0,7,-6,33,1.35
37,42,31,7,9.45
37,41,33,11,14.15
27,31,22,13,1.81
30,35,25,3,13.51
34,39,28,23,5.17
35,41,29,8,14.55
37,41,33,11,16.28
23,27,18,10,18.08
14,24,4,21,1.72
29,32,24,7,16.57
-13,-8,-19,18,0.32
27,36,21,21,8.87
60,60,60,20,2.34
60,60,60,0,0
60,60,60,32,14
39,43,33,16,6.31
33,36,29,9,18.64
32,36,29,23,18.52
24,32,16,6,5.15
9,16,1,9,4.65
8,16,0,10,12.25
33,39,25,7,2.42
41,52,30,25,4.5
42,49,34,18,5.17
52,57,47,14,3.64
48,56,41,17,4.98
35,45,25,19,3.81
38,44,30,17,7.5
34,42,26,19,7.78
40,47,32,0,0
51,58,43,13,1.75
36,48,24,24,5.4
43,52,34,19,3.8
49,54,44,18,2.94
49,55,42,0,0
47,54,41,17,3.42
51,56,46,11,5.81
55,62,48,23,1.58
55,60,49,23,3.04
46,51,42,26,5.14
45,51,40,18,2.5
48,53,41,19,4.04
51,56,45,12,8.04
57,61,53,19,3.62
51,54,47,10,4.45
39,43,34,19,9.58
54,60,47,17,2.22
53,60,45,23,3.6
47,53,40,14,5.4
14,27,1,23,0.92
29,39,18,19,2.92
15,26,5,18,0.8
27,37,16,18,4.31
26,33,18,13,1.48
28,42,14,12,2.14
33,43,23,21,7.78
29,41,17,21,5.05
35,45,25,22,6.18
35,45,25,22,6.18
63,70,56,15,8.45
70,77,62,20,6.9
56,64,47,12,7.41
53,59,46,15,8.52
72,76,68,16,8.34
70,77,63,19,5.75
63,70,54,17,7.37
51,58,42,13,6.24
54,62,45,13,7.4
63,71,55,14,6.28
65,73,57,19,6.87
68,75,60,21,7.2
49,58,40,12,4.17
42,50,33,14,6.84
43,50,35,15,10.48
45,54,36,7,7.4
46,53,37,13,7.84
49,57,41,10,8.22
73,83,63,20,1.98
74,81,67,12,5.08
72,82,62,8,6.47
72,80,64,16,5.25
73,80,66,24,5.11
33,39,27,19,1.9
36,40,30,14,2.08
30,35,24,16,3.94
29,35,22,23,8.92
26,33,19,21,7.71
30,36,22,23,7.97
28,36,20,18,9.07
26,32,20,23,8.62
35,38,23,23,10.2
36,45,26,21,4.52
31,40,21,20,6.75
34,42,25,19,8.75
27,36,18,17,7.35
22,28,15,20,9.8
23,29,16,22,8.8
22,28,16,18,10
21,28,15,19,9.77
20,26,14,23,9.67
26,33,17,20,10.24
31,39,22,21,12
28,39,15,22,9.98
31,37,23,20,7.94
28,35,21,20,7.47
30,37,23,22,10.34
35,45,25,19,6.97
38,48,28,18,2.14
36,46,26,18,7.82
39,48,29,18,6.91
36,45,26,18,5.31
51,60,41,13,6.15
51,61,41,15,8.01
54,61,47,14,8.84
46,54,37,16,6.58
51,61,40,11,4.03
22,34,9,21,5.52
18,26,9,19,6.44
27,37,16,19,5.88
35,44,26,18,4.67
39,49,27,15,6.34
33,41,25,19,7.51
60,60,60,21,9.51
28,36,19,20,6.7
24,33,14,19,6.1
31,39,22,20,5.87
30,39,21,17,7.12
29,36,22,17,7.62
24,32,16,18,6.77
28,36,21,17,7.34
21,27,16,0,0
30,37,22,18,8.38
25,31,18,19,6.61
16,23,8,23,8.68
14,20,7,20,5.78
19,25,12,21,8.74
17,23,11,23,12.62
17,22,8,22,8.54
42,50,35,15,8.21
43,53,32,15,5.12
51,59,41,19,6.52
47,58,35,19,3.94
46,55,36,14,5.95
45,53,33,13,5.37
40,49,30,17,6.15
35,43,27,18,8.58
31,38,23,18,9.42
28,35,21,21,9.34
31,38,23,19,9.72
32,39,25,19,10.97
26,32,19,21,8.41
34,42,26,23,9.15
23,29,15,18,7.54
18,27,9,26,1.32
10,21,2,28,7.65
19,27,13,14,4.71
11,17,3,21,6.74
15,23,7,15,5.25
9,18,0,25,4.65
16,23,7,21,1.94
22,27,17,15,2.08
13,25,0,21,5.21
21,26,15,12,1.88
22,30,14,20,11.48
24,31,17,21,10.65
20,28,12,20,11.07
25,35,15,20,7.1
23,29,16,20,11.07
21,31,9,26,4.11
20,31,9,29,7.52
17,27,7,27,8.7
22,30,12,23,7.84
25,34,17,19,5.28
48,54,43,16,3.02
42,48,36,9,5.17
33,40,26,16,1.4
30,36,23,13,3.48
25,38,13,21,3.65
60,60,60,24,31.11
35,46,23,17,6.57
34,44,24,20,7.24
35,40,28,22,2.61
31,41,21,17,9.2
31,39,23,24,1.67
27,38,16,24,4.08
25,34,15,21,7.14
29,37,20,15,7.87
24,34,14,14,2.61
34,44,24,21,7.87
37,44,29,21,8.44
29,37,20,22,7.14
27,37,15,14,5.07
37,46,27,24,5.41
51,56,45,15,9.17
40,49,30,11,6.12
37,45,30,12,6.38
37,46,28,11,3.71
40,47,33,6,4.97
47,54,39,14,9.6
10,19,0,15,4.98
11,19,2,25,7.02
12,19,4,23,10.47
8,15,1,27,10.82
10,20,3,21,4
31,40,21,20,7.15
32,41,22,15,7.94
31,41,21,20,5.6
32,42,22,19,8.08
31,41,20,20,8.05
29,39,19,16,5.31
29,39,18,18,6.97
33,40,24,18,10.01
35,42,27,22,10.87
36,40,28,20,8.5
34,40,26,26,8.75
43,49,37,8,5.88
18,28,9,23,2.02
38,41,34,11,2.27
42,51,31,18,2.35
28,31,24,17,2.11
38,44,31,10,4.9
29,38,20,21,2.47
37,42,32,12,1
32,43,20,21,4.77
31,40,22,15,9.12
32,41,22,20,3.91
36,45,27,21,6.92
29,40,17,18,5.15
29,40,17,14,4.54
28,38,17,18,3.98
79,84,73,8,2.77
32,42,22,19,6.75
42,50,33,8,7.34
48,57,39,5,9.28
45,52,37,6,6.35
40,49,31,11,6.34
15,23,6,18,9.91
13,21,5,26,9.48
14,22,6,28,7
17,27,7,22,6.81
16,23,9,22,9.35
37,49,25,13,3.52
41,49,32,19,4.82
36,46,26,19,5.98
37,46,28,14,5.44
38,48,27,10,5
41,48,32,16,7.35
41,50,30,19,5.84
39,49,28,11,1.45
42,51,33,18,7.08
32,41,23,19,10.62
48,59,37,12,5.1
50,59,40,19,2.2
53,62,43,15,8.84
59,69,49,20,6.04
37,44,30,16,6.71
49,57,40,17,6.65
55,64,45,14,7.11
32,43,22,21,9.04
44,51,36,16,7.37
44,51,37,16,7.87
53,61,41,18,4.8
42,50,34,24,8.15
44,52,36,20,7.34
54,60,47,15,10.08
53,62,44,15,6.64
36,44,27,22,8.08
42,53,32,19,8.64
43,55,31,18,6.71
51,60,40,19,4.42
52,63,41,18,6.75
45,54,36,23,5.95
39,48,30,12,9.68
31,35,26,26,2.1
34,43,24,20,4.11
25,33,16,14,5.81
35,43,27,13,3.3
44,50,38,10,11.3
39,47,30,19,7.08
34,43,24,20,4.11
40,49,31,14,7.78
37,44,29,17,6.91
31,34,28,9,3.01
32,35,29,21,2.58
36,41,30,9,0.92
41,49,32,7,4.31
41,47,35,5,3.92
31,34,27,13,4.82
33,36,29,27,1.44
33,42,23,17,7.3
35,47,22,18,3.77
29,44,14,26,3.06
34,45,23,16,4.12
23,30,15,18,7.77
23,29,16,20,8.21
24,29,16,18,7.25
27,33,20,24,8.01
22,30,14,25,9.98
25,37,14,29,4.95
15,23,6,28,0.7
18,27,9,11,5.52
22,32,11,28,2.97
42,52,31,28,3.94
39,49,29,22,4.57
48,60,35,16,4.37
45,56,32,26,3.92
24,28,19,7,3.78
43,46,38,10,8.68
16,20,11,7,20.24
2,10,-7,34,4.45
32,36,28,10,13.8
31,39,22,8,1.84
10,16,6,19,9.87
-1,7,-10,16,1.84
9,14,3,18,1
29,34,24,4,2.5
26,32,20,10,8.08
36,40,32,12,3.87
24,29,19,7,8.41
42,45,38,14,10.3
29,36,22,6,8.61
35,38,30,11,11.8
15,18,9,6,12.82
1,8,-6,23,1.24
18,24,10,5,9.64
7,12,2,13,0.41
23,29,16,31,3.81
60,60,60,15,3.61
60,60,60,0,0
60,60,60,6,10.63
44,47,41,11,12.07
37,41,34,5,6.3
29,35,22,11,16.75
18,28,8,7,3.24
1,8,-6,8,5.85
-4,0,-9,5,15.85
34,40,29,7,2.44
41,60,21,28,4.02
41,55,26,8,2.62
52,63,40,12,1.67
49,64,34,18,1.95
31,47,15,17,1.84
39,52,26,23,4.67
36,48,24,26,7.31
42,52,32,0,0
53,63,42,6,1.52
38,56,20,26,3.05
43,58,28,21,2.4
52,57,45,14,4.11
53,59,46,0,0
51,59,42,9,2.27
54,60,48,13,4.65
57,65,47,25,2.27
56,63,49,24,2.31
49,53,43,20,7.35
47,53,41,23,4.5
50,57,42,19,4.94
54,61,46,11,6.24
57,65,49,29,2.18
54,58,49,16,5.37
46,52,38,21,11.37
55,66,44,20,1.54
56,65,46,26,1.5
50,59,42,16,5.32
3,23,-17,25,1.72
29,41,17,19,3.48
6,21,-8,22,1.78
29,41,17,20,6.7
21,30,10,9,2.45
28,42,13,17,3.47
34,42,27,25,8.78
30,37,21,23,7.04
34,43,25,26,7.75
34,43,25,26,7.75
56,66,45,24,4.51
67,74,60,24,7.05
50,62,37,24,3.34
49,62,36,23,4.31
69,74,65,10,9.78
67,73,60,23,5.85
58,69,47,25,6.45
50,60,39,25,4.84
51,63,38,27,3.68
59,67,51,16,6.1
61,70,51,24,6.1
66,74,57,23,7.77
48,60,35,25,3.54
42,54,30,23,4.77
42,52,32,29,6.9
44,57,31,26,4.91
45,57,32,27,4.85
48,60,35,26,5.1
73,84,62,19,2.62
73,80,65,20,1.54
71,83,59,7,3.07
70,81,58,6,2.6
71,79,62,27,4.65
32,39,26,13,6.02
36,42,30,12,5.28
26,33,19,17,6.27
21,27,8,25,11.2
20,30,10,25,11.21
21,32,10,25,9.38
24,35,13,26,11.27
16,24,6,25,9.47
26,37,14,25,11.17
31,41,20,24,7.32
22,31,13,24,12.71
24,34,13,23,11.1
22,29,12,24,11.74
16,25,6,26,12.57
20,29,9,29,10.51
16,22,4,25,11.17
16,26,4,25,7.7
11,21,1,25,9.1
29,39,20,22,7.45
34,47,21,24,6.07
30,45,15,26,9.48
35,47,22,16,4.01
30,40,19,28,6.17
34,45,22,24,6.2
29,37,17,23,9.3
32,41,23,24,3.6
31,41,20,23,9.88
31,41,21,23,9.22
34,44,23,25,6.31
49,62,37,15,3.87
49,60,37,18,3.52
53,62,44,16,6.21
46,59,33,20,4.24
49,63,36,16,2.48
21,30,10,22,5.27
14,22,5,22,6.17
26,33,19,29,7.44
34,43,24,25,6.44
36,47,25,26,6.84
32,39,25,25,10.74
60,60,60,25,10.58
26,32,19,25,9.22
18,24,12,21,6.11
23,29,16,22,11.27
24,29,17,23,10.68
21,26,16,23,9.8
17,21,12,22,7.62
21,27,15,23,10.92
7,12,1,0,0
22,27,16,24,9.25
9,15,3,16,4.85
-1,7,-9,27,9.84
-7,0,-16,23,5.2
5,13,-2,24,8.41
3,12,-6,25,11.48
2,10,-7,24,7.98
43,54,32,19,5.97
42,55,29,23,3.5
49,60,37,16,3.67
47,61,33,21,3.25
45,58,32,22,4.22
44,58,29,22,3.55
41,53,29,16,5.01
33,43,22,26,7.55
28,40,16,26,9.5
28,39,16,28,8.87
29,40,17,26,10.21
33,44,20,26,9.04
26,38,14,28,8.68
32,44,20,26,9.24
26,33,20,19,12.5
16,28,3,15,1.27
22,27,16,24,12.58
21,29,14,21,11.6
11,20,2,19,5.87
25,32,18,19,10.37
17,26,7,16,9.31
25,33,17,27,3.1
30,34,25,18,3.08
20,29,11,26,6.2
23,28,17,25,0.77
26,35,16,29,8.32
25,36,12,25,7.34
21,30,9,30,9.01
27,41,13,21,7.05
22,32,10,28,8.28
26,37,15,27,9.05
26,35,16,27,11.85
22,30,12,29,8.32
17,32,3,19,8.45
21,34,7,22,3.54
45,54,36,19,1.44
41,53,28,7,3.42
38,48,28,25,4.6
31,39,23,14,5.87
25,33,17,22,5.57
60,60,60,26,43.85
33,44,24,26,8.05
35,42,27,24,9.38
34,45,22,30,6.34
35,48,21,26,4.98
38,53,23,30,4.51
27,34,19,22,6.57
23,29,17,24,7.28
24,31,17,23,10.52
24,32,15,22,4.47
35,42,27,26,9.08
37,43,29,25,10.01
26,33,18,23,10.5
25,31,18,21,10.32
34,45,23,31,6.58
47,57,36,28,8.34
41,51,30,22,4.27
39,48,28,24,5.6
38,50,27,28,2.88
41,50,30,25,3.85
45,56,32,27,5.88
9,19,-2,18,6.18
11,22,1,29,9.95
-3,7,-10,23,6.81
-6,3,-13,27,7.31
8,19,-2,29,5.81
24,32,16,23,11.85
25,32,17,22,13.27
26,35,16,23,9.61
23,33,13,23,12.37
23,32,14,22,11.87
23,30,16,24,11.81
24,32,16,22,10.61
36,50,21,21,3.9
39,52,27,16,6.74
37,50,25,16,3.47
38,49,26,23,7
48,53,42,14,6.82
25,33,13,17,1.78
45,51,38,19,5.82
43,51,34,18,2.91
38,45,29,15,3.1
43,46,40,12,10.4
37,46,28,16,5.97
44,50,38,17,4.98
31,39,22,23,6.05
27,34,20,22,12.41
32,40,24,25,6.42
36,44,28,26,8.68
25,33,17,23,8.61
27,33,20,22,5.02
27,33,21,22,5.91
78,83,73,8,4.28
32,40,24,25,7.8
42,53,30,26,6
48,60,36,27,5.04
44,57,31,26,4.88
41,52,30,22,5.17
7,17,-3,24,7.18
8,20,-4,29,7.28
16,26,5,28,7.71
23,33,13,24,6.98
9,20,-2,30,6.31
32,41,22,25,5.47
38,48,28,30,3.3
35,45,25,25,7.61
33,42,24,25,4.94
35,44,26,25,5.48
42,53,30,25,5.65
37,47,26,24,5.78
35,44,26,23,1.32
46,59,32,18,6.12
37,51,23,21,3.88
48,64,32,21,3.55
52,64,39,25,1.52
51,62,39,17,4.55
59,70,48,25,5.07
41,54,28,16,3.61
49,61,37,13,3.78
55,66,44,14,5.81
33,49,17,22,3.47
47,58,36,17,5.41
47,59,35,23,7.51
52,66,36,17,5.07
44,57,31,25,5.45
48,59,36,16,6.54
53,60,46,12,6.61
52,62,42,10,3.57
40,55,24,23,5.74
45,61,29,26,6.05
47,63,31,24,6.61
52,64,38,21,3.6
51,64,39,8,4.17
46,60,32,22,5.64
44,57,30,18,6.84
30,36,24,15,3.11
35,44,26,28,8.55
24,31,17,25,6.12
34,45,22,22,3.8
42,52,31,26,6.84
38,48,28,19,7.11
35,44,26,28,8.55
38,47,28,26,6.98
37,44,29,26,6.21
30,34,27,9,2.87
32,35,28,28,4.7
42,49,35,21,3.62
46,51,40,15,5.54
44,49,38,12,6.77
31,34,26,12,4.6
34,39,29,26,1.72
28,36,19,25,8.2
29,40,21,24,6.02
25,36,16,24,5.71
30,40,20,22,6.24
10,18,1,24,10.78
9,17,0,24,8.84
11,19,3,24,6.34
14,21,6,25,9.31
23,30,16,22,16.27
27,36,19,29,12.52
19,31,5,23,1.22
21,28,14,24,18.21
24,37,14,30,5.85
36,45,27,21,6.01
33,40,25,19,6.44
47,58,35,21,6.6
42,53,31,25,4.62
23,28,19,6,3.64
43,45,40,12,12.18
8,11,4,4,19.64
-9,0,-19,21,5.27
31,35,27,23,4.81
37,43,30,8,4.77
9,14,3,13,10.57
-3,4,-10,7,6.34
-5,2,-14,29,0.57
32,36,27,6,3.67
25,31,19,17,11.24
37,40,34,12,7.6
25,30,20,3,9.8
43,45,40,14,13.33
27,33,18,27,11.1
36,38,33,13,13.55
-2,2,-7,4,5.92
-4,3,-12,21,2.44
6,13,-1,16,7.08
3,6,0,17,0.48
23,30,15,21,5.52
60,60,60,14,3.57
60,60,60,0,0
60,60,60,8,12.17
43,46,40,11,12.14
35,38,32,8,11.22
30,32,27,4,13.24
24,31,17,1,7.8
0,3,-5,8,9.07
-8,-3,-14,9,12.58
37,41,33,8,7.81
47,67,26,17,3.18
47,60,34,16,4.24
58,70,45,12,1.84
56,72,39,15,3.54
39,56,21,21,3.48
35,42,28,9,6.25
28,34,21,11,6.4
31,35,26,0,0
54,62,45,18,2.35
39,52,26,31,2.6
46,60,31,20,3.81
55,61,48,17,3.75
53,60,46,0,0
53,60,45,19,3.72
55,61,48,18,3.75
59,67,51,28,1.72
58,65,52,27,3.11
52,56,48,19,10.51
52,57,47,20,7.9
54,60,47,17,5.17
56,62,49,17,6.72
61,67,54,30,3.21
55,59,50,19,5.95
47,53,40,19,9.14
57,64,51,24,2.08
57,65,49,23,3.62
53,60,47,18,7.48
15,34,-3,25,1.92
38,52,23,22,5.7
16,28,4,25,2.58
36,47,25,24,3.88
25,34,16,15,2.8
39,56,21,16,4.58
27,33,21,26,13.46
25,31,18,27,12.91
25,30,18,22,14.62
25,30,18,22,14.62
50,60,38,28,6.2
61,68,53,22,9.75
46,60,32,25,5.21
45,58,32,24,6.37
65,69,61,9,11.98
61,68,54,23,7.57
52,62,41,28,8.25
44,59,37,20,6.76
46,58,33,25,6.61
55,63,46,20,6.65
54,63,44,27,9.48
59,67,50,27,10.82
43,54,32,24,5.47
35,43,25,19,6.22
35,43,27,22,9.47
37,47,27,21,5.37
39,50,28,23,5.32
42,52,31,20,6.61
74,84,65,23,2.84
74,81,66,19,2.74
72,82,62,10,4.48
71,81,60,6,5.18
72,80,65,19,4.7
41,46,35,19,8.08
43,49,36,13,4.87
29,36,21,13,8.78
18,24,11,27,5.81
17,26,9,13,4.9
18,26,11,14,5.22
17,25,10,18,6.68
17,22,10,22,4.27
18,25,10,18,7.1
24,31,17,14,6.95
16,24,8,19,7.72
19,25,12,17,8.25
15,23,7,21,6.22
17,21,9,18,5.55
19,24,13,14,5.92
11,16,5,15,4.62
20,25,14,11,6.97
14,19,8,13,5.12
25,30,19,15,7.52
28,37,20,15,9.92
31,46,16,25,6.15
28,34,22,14,7.71
24,31,17,14,6.14
30,36,24,20,9.85
19,26,13,18,8.07
19,25,13,21,2.15
18,24,12,14,7.72
22,28,16,18,7.51
24,31,17,14,7.91
48,60,36,22,5.87
50,62,38,20,5.71
52,60,43,17,9.07
43,53,33,20,6.61
49,60,37,22,5.1
16,23,8,26,9.32
12,19,4,31,8.87
18,26,10,26,9.4
23,30,16,26,11.01
25,33,19,24,9.44
25,31,18,26,15.71
60,60,60,26,15.84
20,26,14,26,14.91
17,25,8,18,3.95
20,26,14,22,7.82
21,27,15,19,7.17
19,25,12,17,6.28
17,22,12,23,4.44
18,24,12,18,6.72
14,20,7,0,0
22,26,15,15,5.08
17,22,10,15,2.75
-1,15,2,25,5.95
8,15,1,19,4.07
14,19,9,13,5.55
11,16,6,20,7.45
10,17,3,18,5.1
36,42,29,14,9
36,44,28,21,6.22
48,57,38,21,6.87
46,58,34,22,6.04
43,53,33,21,6.52
42,52,31,17,6.17
34,41,26,13,7.34
25,31,19,20,9.25
23,30,15,18,7.17
23,29,16,16,7.61
22,29,15,19,7.48
27,33,21,14,8.1
20,28,12,15,6.11
24,30,17,19,6.91
34,41,27,24,9.98
24,35,12,25,2.45
27,37,18,26,7.08
27,35,19,20,7.82
17,24,9,11,6.04
34,42,26,21,10.47
20,28,10,22,4.44
31,39,22,27,3.4
31,36,25,22,2.38
26,35,16,19,4.98
29,35,23,24,1.31
23,29,16,16,6.6
23,29,16,16,7.12
21,26,15,20,7.04
28,37,19,15,4.27
20,26,14,15,7.44
31,42,20,25,5.42
32,44,19,29,7.98
22,33,11,21,4.91
25,37,12,20,8.01
28,40,15,22,3.3
50,58,42,20,1.34
46,56,36,11,3.75
44,53,35,24,4.08
39,45,31,15,5.98
20,27,12,26,11.25
60,60,60,25,38.75
25,32,18,22,14.11
27,33,21,22,13.65
40,52,27,29,4.3
42,56,26,28,9.61
45,62,27,25,5.55
21,28,13,27,11.6
16,22,11,22,9.74
18,23,12,20,9.15
18,26,9,20,6.32
28,33,22,27,14.72
28,33,23,22,15.71
18,25,10,21,8.92
17,24,10,28,7.1
28,35,19,30,8.1
38,45,30,29,9.2
31,41,21,22,5.28
28,35,19,22,7.2
28,36,20,21,5.04
30,37,23,23,4
